ORIG_FID,SIA2024BuildingType,BuildingAge,GlazingRatio
345,SFH,1958,54
346,SFH,1919,44
347,SFH,1994,58
348,SFH,1920,34
349,SFH,1968,53
350,SFH,1908,40
351,SFH,1986,34
352,SFH,1976,55
353,SFH,1957,54
354,SFH,1932,22
355,SFH,1952,12
356,SFH,1979,16
357,SFH,1913,59
358,SFH,1984,40
359,SFH,1904,15
360,SFH,1980,35
361,SFH,1982,54
362,SFH,1929,50
363,SFH,1947,35
364,SFH,2005,44
365,SFH,1956,55
366,SFH,1963,32
367,SFH,1972,39
368,SFH,2019,25
369,SFH,1926,57
370,SFH,1958,17
371,SFH,1963,45
372,SFH,1915,14
373,SFH,1950,56
374,SFH,1945,41
375,SFH,2017,17
376,SFH,2013,51
377,SFH,2013,33
378,SFH,1973,44
379,SFH,1929,46
380,SFH,1932,43
381,SFH,1902,56
382,SFH,1947,26
383,SFH,1920,50
384,SFH,2001,23
385,SFH,1936,58
386,SFH,1943,45
387,SFH,1975,50
388,SFH,1952,21
389,SFH,1978,43
390,SFH,2008,35
391,SFH,1964,34
392,SFH,2007,49
393,SFH,1906,57
394,SFH,1922,19
395,SFH,1956,26
396,SFH,2009,11
397,SFH,1962,12
398,SFH,1965,55
399,SFH,1941,35
400,SFH,1985,44
401,SFH,1946,37
402,SFH,2015,59
403,SFH,1991,56
404,SFH,1929,37
405,SFH,1963,40
406,SFH,1920,10
407,SFH,2010,15
408,SFH,1977,49
409,SFH,1964,12
410,SFH,1957,43
411,SFH,1931,46
412,SFH,1964,19
413,SFH,2007,50
414,SFH,1946,31
415,SFH,1985,35
416,SFH,1929,27
417,SFH,1927,50
418,SFH,1965,15
419,SFH,1960,51
420,SFH,1958,34
421,SFH,1954,14
422,SFH,2017,40
423,SFH,1953,15
424,SFH,1902,43
425,SFH,2011,34
426,SFH,2007,54
427,SFH,1906,40
428,SFH,1959,41
429,SFH,1901,34
430,SFH,1978,35
431,SFH,1922,49
432,SFH,1947,54
433,SFH,2012,31
434,SFH,1917,44
435,SFH,1909,32
436,SFH,1957,39
437,SFH,2015,10
438,SFH,1905,19
439,SFH,1957,24
440,SFH,1993,45
441,SFH,1943,11
442,SFH,1942,45
443,SFH,1940,40
444,SFH,1922,27
445,SFH,1911,22
446,SFH,1993,14
447,SFH,1986,35
448,SFH,1902,11
449,SFH,1975,37
450,SFH,2018,27
451,SFH,1989,10
452,SFH,1963,42
453,SFH,1939,19
454,SFH,1958,49
455,SFH,1955,57
456,SFH,1969,40
457,SFH,1979,32
458,SFH,1942,29
459,SFH,1925,13
460,SFH,1918,23
461,SFH,2008,55
462,SFH,1933,28
463,SFH,1966,56
464,SFH,1976,35
465,SFH,1924,45
466,SFH,1900,43
467,SFH,1988,17
468,SFH,1985,37
469,SFH,1925,45
470,SFH,1988,23
471,SFH,1954,37
472,SFH,2012,16
473,SFH,1947,18
474,SFH,1956,31
475,SFH,1949,36
476,SFH,1967,11
477,SFH,1905,35
478,SFH,1920,44
479,SFH,1976,56
480,SFH,1906,57
481,SFH,1926,34
482,SFH,1932,38
483,SFH,2001,12
484,SFH,2017,59
485,SFH,1960,58
486,SFH,1913,23
487,SFH,1942,12
488,SFH,1904,50
489,SFH,1958,46
490,SFH,1907,28
491,SFH,2018,33
492,SFH,2008,31
493,SFH,1927,47
494,SFH,1987,57
495,SFH,1900,11
496,SFH,1911,47
497,SFH,1954,50
498,SFH,1923,12
499,SFH,1969,22
500,SFH,1904,34
501,SFH,1948,13
502,SFH,1948,51
503,SFH,1904,48
504,SFH,1916,42
505,SFH,2008,49
506,SFH,1941,23
507,SFH,1979,46
508,SFH,1911,29
509,SFH,1955,44
510,SFH,1947,20
511,SFH,1964,29
512,SFH,1940,43
513,SFH,1997,25
514,SFH,1992,26
515,SFH,1986,54
516,SFH,1966,22
517,SFH,1949,43
518,SFH,1902,36
519,SFH,1934,49
520,SFH,1967,32
521,SFH,1917,18
522,SFH,1962,13
523,SFH,1989,21
524,SFH,1955,37
525,SFH,2017,54
526,SFH,1991,56
527,SFH,2007,56
528,SFH,2003,42
529,SFH,1953,44
530,SFH,2010,18
531,SFH,1992,17
532,SFH,1991,27
533,SFH,1983,26
534,SFH,1964,28
535,SFH,2011,35
536,SFH,1944,57
537,SFH,2013,13
538,SFH,1932,20
539,SFH,1930,18
540,SFH,1988,37
541,SFH,1948,53
542,SFH,1954,23
543,SFH,2012,37
544,SFH,1934,21
545,SFH,1905,30
546,SFH,1941,37
547,SFH,1969,40
548,SFH,1941,24
549,SFH,1958,44
550,SFH,1994,52
551,SFH,1918,29
552,SFH,1936,43
553,SFH,1962,16
554,SFH,2010,13
555,SFH,1942,39
556,SFH,1917,23
557,SFH,1924,22
558,SFH,1968,41
559,SFH,2005,36
560,SFH,1956,35
561,SFH,2003,14
562,SFH,1967,52
563,SFH,1998,23
564,SFH,1968,29
565,SFH,1995,21
566,SFH,1996,53
567,SFH,1913,43
568,SFH,1951,36
569,SFH,1995,35
570,SFH,1948,15
571,SFH,1923,31
572,SFH,2005,28
573,SFH,1973,18
574,SFH,1998,28
575,SFH,2016,14
576,SFH,1935,11
577,SFH,1953,12
578,SFH,1967,10
579,SFH,1914,41
580,SFH,1941,41
581,SFH,1948,19
582,SFH,1937,42
583,SFH,1917,36
584,SFH,2001,24
585,SFH,2006,44
586,SFH,1934,58
587,SFH,1934,30
588,SFH,1926,22
589,SFH,1950,30
590,SFH,1958,30
591,SFH,1975,56
592,SFH,1920,17
593,SFH,1969,57
594,SFH,1974,52
595,SFH,1928,26
596,SFH,1943,58
597,SFH,2018,21
598,SFH,1982,12
599,SFH,1970,49
600,SFH,1978,56
601,SFH,1981,29
602,SFH,1902,22
603,SFH,1983,51
604,SFH,1975,16
605,SFH,2011,39
606,SFH,1976,49
607,SFH,2009,37
608,SFH,1919,57
609,SFH,1968,49
610,SFH,1966,15
611,SFH,1936,35
612,SFH,1954,15
613,SFH,1960,55
614,SFH,1953,33
615,SFH,1920,20
616,SFH,2012,47
617,SFH,2008,49
618,SFH,1950,34
619,SFH,1908,42
620,SFH,1930,16
621,SFH,1901,49
622,SFH,1999,47
623,SFH,1903,27
624,SFH,1956,53
625,SFH,1922,55
626,SFH,1937,34
627,SFH,1997,38
628,SFH,1925,11
629,SFH,1989,30
630,SFH,1928,43
631,SFH,1981,29
632,SFH,1955,16
633,SFH,1939,52
634,SFH,2000,19
635,SFH,1959,25
636,SFH,1912,58
637,SFH,1960,57
638,SFH,1948,24
639,SFH,1940,20
640,SFH,1930,24
641,SFH,1963,48
642,SFH,1965,49
643,SFH,1920,21
644,SFH,1930,35
645,SFH,1962,39
646,SFH,2004,51
647,SFH,1932,28
648,SFH,1967,33
649,SFH,2005,42
650,SFH,1998,15
651,SFH,1973,49
652,SFH,1922,54
653,SFH,1964,48
654,SFH,1963,24
655,SFH,1975,27
656,SFH,1989,11
657,SFH,1936,41
658,SFH,1971,51
659,SFH,1922,49
660,SFH,2014,46
661,SFH,1992,38
662,SFH,1929,43
663,SFH,1903,38
664,SFH,1964,33
665,SFH,1902,44
666,SFH,1973,23
667,SFH,1989,47
668,SFH,1982,31
669,SFH,1924,17
670,SFH,1935,56
671,SFH,1953,17
672,SFH,1911,20
673,SFH,1925,46
674,SFH,2005,28
675,SFH,1909,43
676,SFH,1966,52
677,SFH,1982,50
678,SFH,1919,24
679,SFH,1962,39
680,SFH,1940,26
681,SFH,1920,37
682,SFH,2011,15
683,SFH,1953,57
684,SFH,1934,53
685,SFH,1952,27
686,SFH,2000,22
687,SFH,1974,36
688,SFH,1907,39
689,SFH,1956,41
690,SFH,2005,48
691,SFH,2002,46
692,SFH,2000,24
693,SFH,1908,26
694,SFH,2016,12
695,SFH,1974,38
696,SFH,2001,33
697,SFH,2009,52
698,SFH,1922,13
699,SFH,1971,49
700,SFH,1935,55
701,SFH,2007,28
702,SFH,1962,22
703,SFH,1909,51
704,SFH,1933,26
705,SFH,1968,46
706,SFH,1924,53
707,SFH,1993,34
708,SFH,1989,35
709,SFH,1922,18
710,SFH,1960,27
711,SFH,1972,44
712,SFH,1947,16
713,SFH,1913,25
714,SFH,1958,49
715,SFH,1921,14
716,SFH,1957,37
717,SFH,1985,57
718,SFH,1994,51
719,SFH,2013,52
720,SFH,1915,29
721,SFH,1957,17
722,SFH,1903,26
723,SFH,1999,25
724,SFH,1924,45
725,SFH,1964,16
726,SFH,1900,49
727,SFH,2018,12
728,SFH,2002,24
729,SFH,1931,27
730,SFH,1901,37
731,SFH,1924,53
732,SFH,1978,48
733,SFH,1982,14
734,SFH,1974,16
735,SFH,1999,52
736,SFH,1993,26
737,SFH,1906,10
738,SFH,1990,31
739,SFH,1942,47
740,SFH,1991,24
741,SFH,1905,45
742,SFH,1913,10
743,SFH,1945,10
744,SFH,1933,54
745,SFH,1904,27
746,SFH,1906,18
747,SFH,1956,35
748,SFH,2000,39
749,SFH,1921,24
750,SFH,1995,22
751,SFH,1981,55
752,SFH,1977,58
753,SFH,1959,13
754,SFH,1908,40
755,SFH,1908,25
756,SFH,1924,28
757,SFH,1948,22
758,SFH,1955,28
759,SFH,1939,13
760,SFH,1926,58
761,SFH,1926,58
762,SFH,2001,52
763,SFH,2002,15
764,SFH,1981,19
765,SFH,1941,50
766,SFH,1927,15
767,SFH,1921,29
768,SFH,1961,28
769,SFH,1905,18
770,SFH,1924,43
771,SFH,1911,56
772,SFH,1923,13
773,SFH,1980,12
774,SFH,1920,54
775,SFH,1972,43
776,SFH,1983,41
777,SFH,1969,18
778,SFH,1981,25
779,SFH,1985,16
780,SFH,2018,28
781,SFH,2001,20
782,SFH,1992,28
783,SFH,1979,38
784,SFH,1933,22
785,SFH,1999,24
786,SFH,1995,31
787,SFH,1908,22
788,SFH,1975,14
789,SFH,2001,53
790,SFH,1931,43
791,SFH,1994,30
792,SFH,1967,20
793,SFH,1911,47
794,SFH,2010,49
795,SFH,1919,26
796,SFH,1939,10
797,SFH,1996,47
798,SFH,1927,35
799,SFH,2002,31
800,SFH,1921,47
801,SFH,1944,26
802,SFH,1973,19
803,SFH,1950,10
804,SFH,1992,29
805,SFH,2019,10
806,SFH,1944,13
807,SFH,2017,54
808,SFH,2014,15
809,SFH,1949,50
810,SFH,1971,41
811,SFH,1925,49
812,SFH,1931,42
813,SFH,1980,46
814,SFH,1925,53
815,SFH,1979,25
816,SFH,1928,12
817,SFH,1936,51
818,SFH,1948,22
819,SFH,1980,40
820,SFH,1914,51
821,SFH,1967,10
822,SFH,1944,50
823,SFH,1915,36
824,SFH,2011,16
825,SFH,1900,44
826,SFH,1967,52
827,SFH,2003,48
828,SFH,1942,22
829,SFH,1951,48
830,SFH,1904,10
831,SFH,1945,28
832,SFH,1970,12
833,SFH,2003,56
834,SFH,1908,23
835,SFH,1920,13
836,SFH,1970,25
837,SFH,2006,22
838,SFH,1932,48
839,SFH,1975,27
840,SFH,1945,50
841,SFH,1953,37
842,SFH,1950,31
843,SFH,1951,12
844,SFH,1949,48
845,SFH,1969,37
846,SFH,2010,53
847,SFH,2006,10
848,SFH,1959,40
849,SFH,1930,23
850,SFH,1984,10
851,SFH,1989,17
852,SFH,1968,23
853,SFH,2009,30
854,SFH,1912,16
855,SFH,1954,33
856,SFH,1986,53
857,SFH,1982,11
858,SFH,1903,38
859,SFH,1902,33
860,SFH,1948,14
861,SFH,1948,38
862,SFH,1904,32
863,SFH,1995,14
864,SFH,2014,44
865,SFH,1904,15
866,SFH,1990,22
867,SFH,1906,33
868,SFH,1934,57
869,SFH,1995,38
870,SFH,1905,32
871,SFH,1977,50
872,SFH,1951,54
873,SFH,1972,52
874,SFH,1976,24
875,SFH,1953,17
876,SFH,2006,16
877,SFH,2000,19
878,SFH,1972,16
879,SFH,2019,28
880,SFH,1937,45
881,SFH,1923,40
882,SFH,1912,38
883,SFH,1904,59
884,SFH,1969,18
885,SFH,1914,11
886,SFH,1969,59
887,SFH,2002,11
888,SFH,1993,30
889,SFH,1961,11
890,SFH,1906,43
891,SFH,1929,29
892,SFH,1907,16
893,SFH,1940,24
894,SFH,1918,49
895,SFH,1938,59
896,SFH,1995,22
897,SFH,1981,14
898,SFH,1968,59
899,SFH,1994,42
900,SFH,2012,20
901,SFH,1993,15
902,SFH,2016,39
903,SFH,1992,22
904,SFH,1980,38
905,SFH,1963,42
906,SFH,1942,18
907,SFH,1916,28
908,SFH,1923,29
909,SFH,1929,32
910,SFH,1907,40
911,SFH,1968,44
912,SFH,1972,58
913,SFH,1954,28
914,SFH,1930,26
915,SFH,1917,19
916,SFH,1966,18
917,SFH,1938,27
918,SFH,1945,43
919,SFH,1992,14
920,SFH,1907,45
921,SFH,1991,34
922,SFH,1943,36
923,SFH,1959,24
924,SFH,1981,45
925,SFH,1968,21
926,SFH,2013,52
927,SFH,1911,28
928,SFH,1946,46
929,SFH,2002,33
930,SFH,1975,37
931,SFH,1937,57
932,SFH,2014,23
933,SFH,2012,59
934,SFH,1909,44
935,SFH,1990,33
936,SFH,1920,40
937,SFH,1903,33
938,SFH,1917,48
939,SFH,2019,36
940,SFH,1973,38
941,SFH,1952,23
942,SFH,1953,55
943,SFH,1941,32
944,SFH,1954,24
945,SFH,1992,41
946,SFH,2012,34
947,SFH,1902,54
948,SFH,1999,19
949,SFH,2003,10
950,SFH,2019,48
951,SFH,1906,54
952,SFH,1937,28
953,SFH,1989,30
954,SFH,1940,25
955,SFH,1965,38
956,SFH,1927,52
957,SFH,1990,44
958,SFH,1999,48
959,SFH,1929,41
960,SFH,1938,18
961,SFH,1907,14
962,SFH,1949,35
963,SFH,1908,14
964,SFH,2012,42
965,SFH,1988,37
966,SFH,1950,23
967,SFH,1931,56
968,SFH,1960,34
969,SFH,1968,52
970,SFH,1935,38
971,SFH,1986,44
972,SFH,1906,35
973,SFH,2017,56
974,SFH,1987,24
975,SFH,1990,41
976,SFH,1941,54
977,SFH,1924,24
978,SFH,1914,32
979,SFH,1910,16
980,SFH,1953,36
981,SFH,1970,34
982,SFH,1954,16
983,SFH,2000,14
984,SFH,2012,49
985,SFH,1911,17
986,SFH,1961,52
987,SFH,1936,32
988,SFH,2010,33
989,SFH,1987,40
990,SFH,1918,58
991,SFH,1934,38
992,SFH,2018,15
993,SFH,1971,29
994,SFH,1999,51
995,SFH,1997,19
996,SFH,1983,17
997,SFH,1952,51
998,SFH,1979,35
999,SFH,1902,55
1000,SFH,1931,21
1001,SFH,1981,15
1002,SFH,1968,51
1003,SFH,1997,39
1004,SFH,2009,41
1005,SFH,1992,30
1006,SFH,1943,42
1007,SFH,2008,11
1008,SFH,1921,55
1009,SFH,1969,25
1010,SFH,1992,37
1011,SFH,1944,33
1012,SFH,1906,53
1013,SFH,1995,31
1014,SFH,1930,14
1015,SFH,1972,36
1016,SFH,2004,57
1017,SFH,1902,38
1018,SFH,1966,33
1019,SFH,1951,51
1020,SFH,1930,15
1021,SFH,1938,37
1022,SFH,1978,29
1023,SFH,1993,14
1024,SFH,1962,45
1025,SFH,1907,20
1026,SFH,1952,38
1027,SFH,1993,56
1028,SFH,1917,17
1029,SFH,1985,54
1030,SFH,1960,31
1031,SFH,2013,49
1032,SFH,1986,58
1033,SFH,1906,33
1034,SFH,1985,27
1035,SFH,1985,27
1036,SFH,1946,57
1037,SFH,1990,21
1038,SFH,1963,42
1039,SFH,1965,56
1040,SFH,1953,45
1041,SFH,1956,17
1042,SFH,1953,24
1043,SFH,1911,37
1044,SFH,2012,46
1045,SFH,1956,46
1046,SFH,1933,23
1047,SFH,1935,44
1048,SFH,1991,24
1049,SFH,2002,52
1050,SFH,1922,40
1051,SFH,1916,26
1052,SFH,1945,58
1053,SFH,1996,38
1054,SFH,1909,55
1055,SFH,1903,36
1056,SFH,1978,57
1057,SFH,1980,40
1058,SFH,1965,15
1059,SFH,1951,44
1060,SFH,1973,29
1061,SFH,1922,19
1062,SFH,1974,26
1063,SFH,1918,58
1064,SFH,1964,43
1065,SFH,1902,23
1066,SFH,2007,12
1067,SFH,1916,48
1068,SFH,1996,12
1069,SFH,1977,22
1070,SFH,1936,32
1071,SFH,1904,40
1072,SFH,1919,30
1073,SFH,1994,25
1074,SFH,2018,29
1075,SFH,2008,16
1076,SFH,1938,18
1077,SFH,1910,16
1078,SFH,1991,37
1079,SFH,1955,20
1080,SFH,1988,31
1081,SFH,1998,39
1082,SFH,2005,46
1083,SFH,1905,35
1084,SFH,1911,39
1085,SFH,2001,16
1086,SFH,1946,59
1087,SFH,1928,16
1088,SFH,1910,31
1089,SFH,1941,43
1090,SFH,1991,58
1091,SFH,1917,27
1092,SFH,2018,31
1093,SFH,1905,30
1094,SFH,1907,29
1095,SFH,1931,39
1096,SFH,1947,13
1097,SFH,1956,51
1098,SFH,1988,33
1099,SFH,1994,52
1100,SFH,1994,51
1101,SFH,1937,12
1102,SFH,1920,20
1103,SFH,1967,39
1104,SFH,1929,39
1105,SFH,1973,43
1106,SFH,1953,32
1107,SFH,1923,11
1108,SFH,1903,36
1109,SFH,1912,28
1110,SFH,1992,23
1111,SFH,1934,55
1112,SFH,1973,40
1113,SFH,1964,33
1114,SFH,1947,54
1115,SFH,1948,32
1116,SFH,1986,35
1117,SFH,1970,21
1118,SFH,1999,26
1119,SFH,1965,32
1120,SFH,1943,22
1121,SFH,1939,45
1122,SFH,1921,29
1123,SFH,1918,55
1124,SFH,1982,35
1125,SFH,1961,40
1126,SFH,1987,33
1127,SFH,1912,19
1128,SFH,2014,44
1129,SFH,2019,17
1130,SFH,1998,11
1131,SFH,1968,16
1132,SFH,1923,25
1133,SFH,2000,43
1134,SFH,1988,16
1135,SFH,1901,27
1136,SFH,1975,27
1137,SFH,1941,23
1138,SFH,2006,22
1139,SFH,1953,16
1140,SFH,1910,39
1141,SFH,1901,25
1142,SFH,1947,41
1143,SFH,1978,53
1144,SFH,2019,48
1145,SFH,1982,56
1146,SFH,1957,15
1147,SFH,1940,48
1148,SFH,1901,27
1149,SFH,1916,25
1150,SFH,1915,54
1151,SFH,2001,24
1152,SFH,1991,57
1153,SFH,1988,52
1154,SFH,1921,23
1155,SFH,1929,50
1156,SFH,2010,31
1157,SFH,1984,24
1158,SFH,1953,15
1159,SFH,1917,40
1160,SFH,1929,46
1161,SFH,1946,35
1162,SFH,1983,44
1163,SFH,1931,33
1164,SFH,1969,56
1165,SFH,1945,33
1166,SFH,1917,52
1167,SFH,1905,22
1168,SFH,1955,56
1169,SFH,1957,46
1170,SFH,2005,49
1171,SFH,2011,45
1172,SFH,1902,17
1173,SFH,2006,47
1174,SFH,2014,29
1175,SFH,1998,47
1176,SFH,1915,20
1177,SFH,1996,38
1178,SFH,1967,59
1179,SFH,1936,53
1180,SFH,1964,46
1181,SFH,2000,59
1182,SFH,1980,54
1183,SFH,1933,41
1184,SFH,1966,52
1185,SFH,1947,15
1186,SFH,1947,31
1187,SFH,1975,28
1188,SFH,1909,36
1189,SFH,1995,56
1190,SFH,1912,11
1191,SFH,1967,43
1192,SFH,1980,49
1193,SFH,1922,53
1194,SFH,2005,19
1195,SFH,1969,59
1196,SFH,2002,20
1197,SFH,1920,51
1198,SFH,1968,24
1199,SFH,1984,50
1200,SFH,1930,54
1201,SFH,1986,58
1202,SFH,1984,39
1203,SFH,1948,31
1204,SFH,1989,38
1205,SFH,1989,22
1206,SFH,1938,45
1207,SFH,1995,17
1208,SFH,1943,52
1209,SFH,1915,50
1210,SFH,1907,16
1211,SFH,1953,22
1212,SFH,1909,58
1213,SFH,1901,59
1214,SFH,1945,29
1215,SFH,1916,46
1216,SFH,2019,25
1217,SFH,1911,46
1218,SFH,1934,33
1219,SFH,1914,46
1220,SFH,1917,15
1221,SFH,1900,45
1222,SFH,1933,31
1223,SFH,1933,28
1224,SFH,1918,27
1225,SFH,1927,31
1226,SFH,1931,40
1227,SFH,1999,54
1228,SFH,1980,46
1229,SFH,1960,55
1230,SFH,1952,19
1231,SFH,1998,57
1232,SFH,1953,57
1233,SFH,1985,25
1234,SFH,1915,17
1235,SFH,1934,10
1236,SFH,2009,28
1237,SFH,1913,13
1238,SFH,1912,21
1239,SFH,1959,43
1240,SFH,1998,55
1241,SFH,1920,33
1242,SFH,1945,30
1243,SFH,1947,44
1244,SFH,2002,42
